상호명,위도(lat),경도(lon),소재지,count
복권마트,37.691276675414,127.889910277195,강원 홍천군 홍천로 409 1층,22
복권명당,35.8692508020698,128.713471176525,대구 동구 경안로 751,22
로또편의점,35.8270915319785,127.168292457746,전북 전주시 덕진구 아중로 173,22
가로판매점,37.5350249765358,126.961497837715,서울 용산구 원효로 166,22
777천하명당,36.0748778973301,126.68868846985,충남 서천군 충절로 54,22
버스표판매소,37.6200950875394,126.839313752988,경기 고양시 덕양구 화신로 76 가라뫼 사거리 변전소 앞 버스정류장 앞 가판대,22
복권백화점,37.2940023264951,127.636288442578,경기 여주시 세종로 41 1층,22
복권나라,37.8267398343763,127.15268359735,경기 포천시 죽엽산로35번길 1,22
왕대박(복권방),35.8776948087102,128.596162644696,대구 북구 칠성남로 143 1층전체,21
로또복권방,37.3592540547346,126.93237417283,경기 군포시  산본로323번길 16-6 신명타워 신명빌딩1층1005호,21
대운복권,37.4323866865778,127.128690501599,경기 성남시 중원구 성남대로 1149,21
둔포로또판매점,36.9306795260667,127.038489360439,충남 아산시 충무로 1810 둔포로또판매점,21
팬시코아,37.6509740519626,127.142176639613,경기 남양주시 퇴계원로 48,21
로또복권방,37.3592577497842,126.93237563693,경기 군포시 산본동  1134-2신명빌딩1층1005호,21
청솔서점,35.0988188080233,128.958952934637,부산 사하구 하신번영로 195,21
로또삼성복권방,37.2667111158006,127.058175996827,경기 수원시 영통구 매영로 141 원천훼미리타운105호,21
신라슈퍼,35.9879063950502,129.445356110751,경북 포항시 남구 일월로 112,21
성광복권명당,35.1899952295364,129.091093984055,부산 연제구 과정로 335,21
가판점,37.5365252568381,127.13140289598,서울 강동구 천호대로 1073 앞 가판점,21
캐논종합,37.5337555071395,126.962464031928,서울 용산구 새창로 156 3층큰길가장오른쪽네번째칸,21
대박행운복권방,36.7463330298774,126.86686793761,충남 아산시 온천대로 104 1층 103호,21
갤러리마트,37.580926444595,127.087733678026,서울 중랑구 사가정로 387,21
청구마트,35.9004285818947,128.615921958708,대구 북구 검단로 34 청구아파트상가108동102호,21
